hatsune miku,初音ミク
hakurei reimu,レイマリ
kirisame marisa,おっぱまりさ
flandre scarlet,フランドール・スカーレット
remilia scarlet,レミリア・スカーレット
izayoi sakuya,巨乳長
artoria pendragon (fate),アルトリア・ペンドラゴン
komeiji koishi,古明地こいし
kochiya sanae,さなぱい
konpaku youmu,魂魄妖夢
cirno,チルノ
alice margatroid,アリス・マーガトロイド
admiral (kancolle),提督(艦隊これくしょん)
patchouli knowledge,パチュリー・ノーレッジ
sensei (blue archive),先生(ブルーアーカイブ)
yakumo yukari,ゆかりん
shameimaru aya,きょぬーまる
reisen udongein inaba,鈴仙・優曇華院・イナバ
komeiji satori,古明地さとり
fujiwara no mokou,藤原妹紅
akemi homura,暁美ほむら
kaname madoka,鹿目まどか
hong meiling,ホン・メイリン
saigyouji yuyuko,西行寺幽々子
scaramouche (genshin impact),スカラマシュ
kagamine rin,鏡音リン
inubashiri momiji,ショタ椛
konpaku youmu (ghost),半霊
yakumo ran,けしか藍
kaenbyou rin,お燐
kaga (kancolle),加賀(艦隊これくしょん)
rumia,ルーミア
raiden shogun,雷神バアル
moriya suwako,洩矢諏訪子
lumine (genshin impact),荧
warrior of light (ff14),光の戦士(FF14)
doodle sensei (blue archive),アロナの似顔絵
saber (fate),セイバー
trailblazer (honkai: star rail),開拓者(スターレイル)
mash kyrielight,マシュ・キリエライト
shimakaze (kancolle),島風(艦隊これくしょん)
link,リンク
reiuji utsuho,お空
chen,ゆっくりちぇん
kazami yuuka,風見幽香
ganyu (genshin impact),甘雨
miki sayaka,美樹さやか
hina (blue archive),空崎ヒナ
fujimaru ritsuka (male),ぐだ男
yuuka (blue archive),早瀬ユウカ
tatara kogasa,多々良小傘
kawashiro nitori,河城にとり
asuna (blue archive),一之瀬アスナ
hibiki (kancolle),響(艦隊これくしょん)
gotoh hitori,後藤ひとり
houraisan kaguya,てるよ
kamishirasawa keine,上白沢慧音
hinanawi tenshi,てんこ
houshou marine,宝鐘マリン
shigure (kancolle),時雨(艦隊これくしょん)
kasane teto,重音テト
gardevoir,サーナイト
souryuu asuka langley,惣流・アスカ・ラングレー
pikachu,ピカチュウ
kagamine len,鏡音レン
sakura kyoko,あんこ
tomoe mami,巴マミ
tifa lockhart,ティファ・ロックハート
firefly (honkai: star rail),ホタル(スターレイル)
princess zelda,ゼルダ姫
fujimaru ritsuka (female),ぐだ子
gawr gura,がうるぐら
